3	7.545
14	28.51
6	8.395
2	1.914
5	5.376
8	15.449
5	7.414
1	0.74
3	9.135
1	0.132
14	25.859
2	4.481
4	6.792
3	4.94
2	6.003
6	12.244
5	9.001
14	36.018
10	16.383
17	34.043
1	0.755
1	0.676
5	7.652
4	4.546
7	16.47
11	27.78
6	13.637
6	17.312
7	19.757
8	12.442
3	10.241
1	0.753
2	1.322
2	3.234
1	0.192
4	8.634
1	1.725
1	0.686
1	1.583
3	4.709
4	11.071
2	3.64
5	7.254
4	8.884
1	1.564
3	8.111
2	4.061
1	1.32
1	0.138
3	2.992
1	1.866
3	7.128
7	10.96
1	2.315
2	4.808
4	8.413
4	11.102
3	6.322
2	1.187
4	6.801
2	5.956
1	1.003
2	1.549
1	1.018
3	2.246
2	1.6
3	6.477
1	2.296
2	1.544
2	7.187
2	3.948
1	2.522
2	2.897
1	0.371
2	4.04
1	0.886
1	0.324
4	11.141
2	4.321
11	29.377
6	11.721
1	2.089
1	0.007
3	3.663
1	0.009
2	8.786
7	12.855
3	6.793
3	1.221
1	0.785
1	0.42
2	5.721
4	7.438
2	3.969
1	1.773
3	8.839
1	0.375
2	1.752
2	4.619
1	0.561
9	15.485
1	3.207
2	1.424
1	0.36
3	2.697
1	1.684
5	9.741
1	3.556
1	0.612
2	3.09
1	1.859
3	8.805
3	6.251
1	1.426
8	14.694
1	0.919
1	4.089
1	0.743
2	2.186
1	0.312
1	1.623
1	0.629
1	3.613
1	0.598
2	5.836
2	5.76
2	4.578
5	5.608
1	0.146
4	7.019
3	7.836
3	3.594
1	0.427
4	7.654
1	1.649
2	3.326
5	11.206
1	0.376
3	6.569
3	3.869
8	14.353
7	6.87
7	14.531
1	1.657
2	7
3	8.659
1	0.804
2	4.476
2	6.619
1	1.911
1	0.9
1	0.373
2	3.367
1	3.258
1	3.95
4	5.176
1	1.535
3	2.818
2	6.662
4	4.245
1	0.441
4	10.877
6	17.239
1	2.265
2	2.853
2	7.578
1	0.9
5	7.837
1	0.285
2	5.042
1	1.646
1	0.518
3	4.416
1	1.569
3	7.919
1	6.444
1	0.209
1	2.673
5	6.475
1	0.102
1	0.246
6	18.978
1	0.417
1	0.363
2	4.609
2	3.354
2	5.399
1	0.342
1	2.435
1	1.617
1	2.062
1	1.306
1	1.619
3	4.101
1	0.726
