7.545	3	14
28.51	14	342
8.395	6	23
1.914	2	8
5.376	5	15
15.449	8	58
7.414	5	19
0.74	1	6
9.135	3	14
0.132	1	6
25.859	14	246
4.481	2	10
6.792	4	17
4.94	3	12
6.003	2	10
12.244	6	34
9.001	5	23
36.018	14	606
16.383	10	70
34.043	17	710
0.755	1	6
0.676	1	6
7.652	5	20
4.546	4	13
16.47	7	53
27.78	11	214
13.637	6	37
17.312	6	40
19.757	7	57
12.442	8	40
10.241	3	14
0.753	1	6
1.322	2	7
3.234	2	9
0.192	1	6
8.634	4	19
1.725	1	7
0.686	1	6
1.583	1	7
4.709	3	12
11.071	4	20
3.64	2	9
7.254	5	19
8.884	4	19
1.564	1	7
8.111	3	14
4.061	2	10
1.32	1	7
0.138	1	6
2.992	3	10
1.866	1	7
7.128	3	14
10.96	7	33
2.315	1	7
4.808	2	10
8.413	4	19
11.102	4	20
6.322	3	13
1.187	2	7
6.801	4	17
5.956	2	10
1.003	1	7
1.549	2	8
1.018	1	7
2.246	3	9
1.6	2	8
6.477	3	13
2.296	1	7
1.544	2	8
7.187	2	10
3.948	2	10
2.522	1	7
2.897	2	9
0.371	1	6
4.04	2	10
0.886	1	6
0.324	1	6
11.141	4	20
4.321	2	10
29.377	11	222
11.721	6	33
2.089	1	7
0.007	1	5
3.663	3	11
0.009	1	5
8.786	2	10
12.855	7	41
6.793	3	14
1.221	3	7
0.785	1	6
0.42	1	6
5.721	2	10
7.438	4	17
3.969	2	10
1.773	1	7
8.839	3	14
0.375	1	6
1.752	2	8
4.619	2	10
0.561	1	6
15.485	9	61
3.207	1	7
1.424	2	7
0.36	1	6
2.697	3	9
1.684	1	7
9.741	5	24
3.556	1	7
0.612	1	6
3.09	2	9
1.859	1	7
8.805	3	14
6.251	3	13
1.426	1	7
14.694	8	53
0.919	1	6
4.089	1	7
0.743	1	6
2.186	2	8
0.312	1	6
1.623	1	7
0.629	1	6
3.613	1	7
0.598	1	6
5.836	2	10
5.76	2	10
4.578	2	10
5.608	5	15
0.146	1	6
7.019	4	17
7.836	3	14
3.594	3	11
0.427	1	6
7.654	4	18
1.649	1	7
3.326	2	9
11.206	5	26
0.376	1	6
6.569	3	14
3.869	3	11
14.353	8	51
6.87	7	18
14.531	7	47
1.657	1	7
7	2	10
8.659	3	14
0.804	1	6
4.476	2	10
6.619	2	10
1.911	1	7
0.9	1	6
0.373	1	6
3.367	2	9
3.258	1	7
3.95	1	7
5.176	4	14
1.535	1	7
2.818	3	10
6.662	2	10
4.245	4	12
0.441	1	6
10.877	4	20
17.239	6	40
2.265	1	7
2.853	2	9
7.578	2	10
0.9	1	6
7.837	5	20
0.285	1	6
5.042	2	10
1.646	1	7
0.518	1	6
4.416	3	12
1.569	1	7
7.919	3	14
6.444	1	7
0.209	1	6
2.673	1	7
6.475	5	17
0.102	1	5
0.246	1	6
18.978	6	41
0.417	1	6
0.363	1	6
4.609	2	10
3.354	2	9
5.399	2	10
0.342	1	6
2.435	1	7
1.617	1	7
2.062	1	7
1.306	1	7
1.619	1	7
4.101	3	11
0.726	1	6
